baseline_id,structure,structural_deviation,source_term,source_partition
SB1162,"pleural membrane, pleural-space, and thoracic mechanical structure","altered configuration or regulated output of the named structure, expressed as the state described by chylothorax",Chylothorax,remaining_5256
SB1163,skeletal-muscle fiber excitation-contraction structure,excess or sustained contractile activation causing abnormal narrowing or mechanical state,Ciliary muscle spasm,remaining_5256
SB1164,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by cinchonism",Cinchonism,remaining_5256
SB1165,"sleep-wake timing, arousal, and state-transition neural network",departure from the reference structural configuration or regulated functional range,Circadian rhythm sleep disorder,remaining_5256
SB1166,"vascular wall tone, lumen, and blood-flow structure",persistent alteration of affective-valence and motivational network state,Circulatory depression,remaining_5256
SB1167,"oral mucosal, gingival, dental, and salivary-interface structure","excess fluid accumulation within interstitial, tissue, or cavity compartments",Circumoral oedema,remaining_5256
SB1168,peripheral sensory-nerve axonal conduction structure,abnormal sensory perception or sensory-transmission state,Circumoral paresthesia,remaining_5256
SB1169,ocular optical-retinal-neural visual structure,"altered configuration or regulated output of the named structure, expressed as the state described by circumscribed scleroderma",Circumscribed scleroderma,remaining_5256
SB1170,hepatic parenchymal metabolic-secretory structure,excess matrix deposition/remodeling with increased tissue stiffness and reduced normal architecture,Cirrhosis alcoholic,remaining_5256
SB1171,whole-organism integrated physiological structure,departure from the reference structural configuration or regulated functional range,Citrate toxicity,remaining_5256
SB1172,"vascular wall tone, lumen, and blood-flow structure",activity-induced ischemic nociceptive signaling caused by flow limitation relative to tissue demand,Claudication,remaining_5256
SB1173,limbic-cortical affective and behavioral-control network,"altered configuration or regulated output of the named structure, expressed as the state described by claustrophobia",Claustrophobia,remaining_5256
SB1174,"bone mineralized matrix, cortical-trabecular continuity, and remodeling structure",loss of mineralized skeletal continuity under mechanical load,Clavicle fracture,remaining_5256
SB1175,"oral mucosal, gingival, dental, and salivary-interface structure",developmental failure of normal craniofacial tissue fusion producing persistent structural separation,Cleft lip,remaining_5256
SB1176,whole-organism integrated physiological structure,developmental failure of normal craniofacial tissue fusion producing persistent structural separation,Cleft palate,remaining_5256
SB1177,"oral mucosal, gingival, dental, and salivary-interface structure","altered configuration or regulated output of the named structure, expressed as the state described by clitoral engorgement",Clitoral engorgement,remaining_5256
SB1178,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by cloacal exstrophy",Cloacal exstrophy,remaining_5256
SB1179,cortical neuronal excitability and synchronized electrical-network structure,pathologic synchronized neural excitability producing episodic network discharge,Clonic convulsion,remaining_5256
SB1180,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by clonic movements",Clonic movements,remaining_5256
SB1181,"basal-ganglia, corticospinal, and muscle-tone motor-control network","altered configuration or regulated output of the named structure, expressed as the state described by clonus",Clonus,remaining_5256
SB1182,innate-adaptive host-defense structure,pathogen-associated occupation/invasion with host-defense activation and local structural disruption,Clostridial infection,remaining_5256
SB1183,"colorectal mucosal barrier, motility, and transit structure","localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Clostridium colitis,remaining_5256
SB1184,"colorectal mucosal barrier, motility, and transit structure","localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Clostridium difficile colitis,remaining_5256
SB1185,plasma coagulation-anticoagulation and fibrinolytic structure,"altered configuration or regulated output of the named structure, expressed as the state described by clotting",Clotting,remaining_5256
SB1186,urine formation-to-excretion composition and outflow structure,"increased suspended cells, crystals, protein, or other material altering urine optical clarity",Cloudy urine,remaining_5256
SB1187,whole-organism integrated physiological structure,reduced precision of integrated sensorimotor coordination across ordinary movement tasks,Clumsiness,remaining_5256
SB1188,peripheral-central nociceptive sensory-transmission structure,"altered configuration or regulated output of the named structure, expressed as the state described by cluster headache",Cluster headache,remaining_5256
SB1189,plasma coagulation-anticoagulation and fibrinolytic structure,measured or functional quantity shifted below its reference structural range,Coagulation factor decreased,remaining_5256
SB1190,plasma coagulation-anticoagulation and fibrinolytic structure,loss of cellular viability with local tissue structural breakdown,Coagulation necrosis,remaining_5256
SB1191,plasma coagulation-anticoagulation and fibrinolytic structure,departure from the reference structural configuration or regulated functional range,Coagulation test abnormal,remaining_5256
SB1192,plasma coagulation-anticoagulation and fibrinolytic structure,event duration or measured interval extended beyond the reference timing range,Coagulation time prolonged,remaining_5256
SB1193,"plasma coagulation, platelet-hemostasis, and fibrinolytic structure",structural-functional tissue disorder with impaired normal operation of the named structure,Coagulopathy,remaining_5256
SB1194,"cardiac chamber, septal, great-vessel, and congenital anatomical structure",developmental focal narrowing of a major vessel causing abnormal pressure and flow distribution,Coarctation of the aorta,remaining_5256
SB1195,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by coccydynia",Coccydynia,remaining_5256
SB1196,cochlear-mechanical and auditory-neural transduction structure,departure from the reference structural configuration or regulated functional range,Cochlear toxicity,remaining_5256
SB1197,"cortical attention, cognition, consciousness, and arousal network","disorganized or reduced cortical integration of attention, cognition, and state representation",Cognitive deterioration,remaining_5256
SB1198,"cortical attention, cognition, consciousness, and arousal network","disorganized or reduced cortical integration of attention, cognition, and state representation",Cognitive disorder,remaining_5256
SB1199,"cortical attention, cognition, consciousness, and arousal network","disorganized or reduced cortical integration of attention, cognition, and state representation",Cognitive impairment,remaining_5256
SB1200,basal-ganglia-thalamocortical motor-control network,"abnormally increased mechanical resistance, muscle tone, or tissue stiffness",Cogwheel rigidity,remaining_5256
SB1201,vascular wall and hemostatic integrity structure,vascular or tissue integrity breach with blood extravasation/accumulation,Coital bleeding,remaining_5256
SB1202,cutaneous vascular thermoregulatory and peripheral-perfusion structure,"altered configuration or regulated output of the named structure, expressed as the state described by cold feet",Cold feet,remaining_5256
SB1203,cutaneous vascular thermoregulatory and peripheral-perfusion structure,"altered configuration or regulated output of the named structure, expressed as the state described by cold hands",Cold hands,remaining_5256
SB1204,cutaneous vascular thermoregulatory and peripheral-perfusion structure,"altered configuration or regulated output of the named structure, expressed as the state described by cold hands & feet",Cold hands & feet,remaining_5256
SB1205,central-peripheral thermoregulatory heat-production and heat-loss structure,departure from the reference structural configuration or regulated functional range,Cold intolerance,remaining_5256
SB1206,eccrine-apocrine sweat-gland secretory structure,sweat-gland activation occurring with peripheral vasoconstriction and autonomic stress-state output,Cold sweat,remaining_5256
SB1207,upper-airway nasal-pharyngeal mucosal barrier and airway-patency structure,observable sensory or functional output indicating departure from the reference structural state,Cold symptoms,remaining_5256
SB1208,cutaneous vascular thermoregulatory and peripheral-perfusion structure,"altered configuration or regulated output of the named structure, expressed as the state described by coldness",Coldness,remaining_5256
SB1209,"colorectal mucosal barrier, motility, and transit structure","localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Colitis,remaining_5256
SB1210,"colorectal mucosal barrier, motility, and transit structure","localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Colitis ischaemic,remaining_5256
SB1211,"colorectal mucosal barrier, motility, and transit structure","localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Colitis microscopic,remaining_5256
SB1212,"colorectal mucosal barrier, motility, and transit structure","localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Colitis ulcerative,remaining_5256
SB1213,"systemic connective-tissue collagen, elastic-matrix, and mechanical-support structure",departure from the reference structural configuration or regulated functional range,Collagen disorder,remaining_5256
SB1214,"vascular wall tone, lumen, and blood-flow structure","altered configuration or regulated output of the named structure, expressed as the state described by collagen-vascular disease",Collagen-vascular disease,remaining_5256
SB1215,whole-organism integrated physiological structure,transient loss of postural/awareness continuity from insufficient integrated cerebral perfusion or output,Collapse,remaining_5256
SB1216,"colorectal mucosal barrier, motility, and transit structure","altered configuration or regulated output of the named structure, expressed as the state described by colon atonic",Colon atonic,remaining_5256
SB1217,"colorectal mucosal barrier, motility, and transit structure",loss of normal proliferative/differentiation constraint with clonal tissue expansion and architectural replacement,Colon cancer,remaining_5256
SB1218,"colorectal mucosal barrier, motility, and transit structure",partial or complete luminal/pathway blockage with impaired transit or flow,Colon obstruction,remaining_5256
SB1219,"colorectal mucosal barrier, motility, and transit structure",localized inflammatory cavity with tissue breakdown and accumulated cellular/fluid contents,Colonic abscess,remaining_5256
SB1220,"colorectal mucosal barrier, motility, and transit structure",localized tissue overgrowth or mass formation with altered normal architecture,Colonic polyp,remaining_5256
SB1221,"colorectal mucosal barrier, motility, and transit structure",partial or complete luminal/pathway blockage with impaired transit or flow,Colonic pseudo-obstruction,remaining_5256
SB1222,ocular optical-retinal-neural visual structure,altered retinal/cortical mapping of wavelength-dependent visual information,Color vision change,remaining_5256
SB1223,"colorectal mucosal barrier, motility, and transit structure",loss of normal proliferative/differentiation constraint with clonal tissue expansion and architectural replacement,Colorectal cancer,remaining_5256
SB1224,"colorectal mucosal barrier, motility, and transit structure",loss of normal proliferative/differentiation constraint with clonal tissue expansion and architectural replacement,Colorectal cancer metastatic,remaining_5256
SB1225,ocular optical-retinal-neural visual structure,severe or complete loss of visual signal formation or transmission,Colour blindness,remaining_5256
SB1226,ocular optical-retinal-neural visual structure,severe or complete loss of visual signal formation or transmission,Colour blindness acquired,remaining_5256
SB1227,"cortical attention, cognition, consciousness, and arousal network",profound loss of consciousness and arousal-network output,Coma,remaining_5256
SB1228,"hepatic parenchymal, biliary, and portal-perfusion structure",profound loss of consciousness and arousal-network output,Coma hepatic,remaining_5256
SB1229,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by comedone",Comedone,remaining_5256
SB1230,upper-airway nasal-pharyngeal mucosal barrier and airway-patency structure,"altered configuration or regulated output of the named structure, expressed as the state described by common cold",Common cold,remaining_5256
SB1231,whole-organism integrated physiological structure,localized epithelial hyperplasia producing a raised keratinized surface lesion,Common wart,remaining_5256
SB1232,innate-adaptive host-defense structure,pathogen-associated occupation/invasion with host-defense activation and local structural disruption,Community acquired infection,remaining_5256
SB1233,pulmonary airway-alveolar ventilation and gas-exchange structure,alveolar/airway inflammatory occupation with fluid-cellular exudate reducing gas-exchange surface,Community acquired pneumonia,remaining_5256
SB1234,"developmental tissue-patterning, morphogenesis, and organ-architecture structure",departure from the reference structural configuration or regulated functional range,Compartment syndrome,remaining_5256
SB1235,cochlear-mechanical and auditory-neural transduction structure,reduced auditory mechanical/neural transduction,Complete hearing loss,remaining_5256
SB1236,limbic-cortical affective and behavioral-control network,"altered configuration or regulated output of the named structure, expressed as the state described by completed suicide",Completed suicide,remaining_5256
SB1237,cortical neuronal excitability and synchronized electrical-network structure,pathologic synchronized neural excitability producing episodic network discharge,Complex partial seizures,remaining_5256
SB1238,peripheral-central nociceptive sensory-transmission structure,increased nociceptive signaling associated with local tissue or neural perturbation,Complex regional pain syndrome,remaining_5256
SB1239,"implanted-device, catheter, or prosthesis tissue-interface structure","altered configuration or regulated output of the named structure, expressed as the state described by complication of device insertion",Complication of device insertion,remaining_5256
SB1240,whole-organism integrated physiological structure,externally imposed intervention producing a non-baseline structural or functional configuration,Complications of transplant surgery,remaining_5256
SB1241,"bone mineralized matrix, cortical-trabecular continuity, and remodeling structure",loss of mineralized skeletal continuity under mechanical load,Compression fracture,remaining_5256
SB1242,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by compulsions",Compulsions,remaining_5256
SB1243,limbic-cortical affective and behavioral-control network,departure from the reference structural configuration or regulated functional range,Compulsive personality disorder,remaining_5256
SB1244,genital neurovascular sexual-response structure,repetitive behavior output driven by persistent internal salience despite reduced flexible control,Compulsive sexual behaviour,remaining_5256
SB1245,limbic-cortical affective and behavioral-control network,repetitive behavior output driven by persistent internal salience despite reduced flexible control,Compulsive shopping,remaining_5256
SB1246,whole-organism integrated physiological structure,transient neural network dysfunction following externally imposed mechanical acceleration/deceleration,Concussion,remaining_5256
SB1247,whole-organism integrated physiological structure,departure from the reference structural configuration or regulated functional range,Condition aggravated,remaining_5256
SB1248,cardiac conduction and myocardial rhythm structure,interruption or delay of normal electrical conduction between coupled excitable regions,Conduction disorder,remaining_5256
SB1249,"cortical attention, cognition, consciousness, and arousal network","disorganized or reduced cortical integration of attention, cognition, and state representation",Confusion postoperative,remaining_5256
SB1250,"cortical attention, cognition, consciousness, and arousal network","altered configuration or regulated output of the named structure, expressed as the state described by confusional state",Confusional state,remaining_5256
SB1251,"hepatobiliary bile-production, ductal-drainage, and intestinal-delivery structure","developmental patterning deviation producing absent, incomplete, or abnormally organized structure",Congenital absence of bile ducts,remaining_5256
SB1252,"embryofetal tissue-patterning, morphogenesis, and organ-development structure","developmental patterning deviation producing absent, incomplete, or abnormally organized structure",Congenital anomaly,remaining_5256
SB1253,"vascular wall tone, lumen, and blood-flow structure","developmental patterning deviation producing absent, incomplete, or abnormally organized structure",Congenital arterial malformation,remaining_5256
SB1254,"embryofetal tissue-patterning, morphogenesis, and organ-development structure","developmental patterning deviation producing absent, incomplete, or abnormally organized structure",Congenital central nervous system anomaly,remaining_5256
SB1255,"embryofetal tissue-patterning, morphogenesis, and organ-development structure","developmental patterning deviation producing absent, incomplete, or abnormally organized structure",Congenital clubfoot,remaining_5256
SB1256,renal glomerular-tubular filtration and fluid-balance structure,"developmental patterning deviation producing absent, incomplete, or abnormally organized structure",Congenital cystic kidney disease,remaining_5256
SB1257,"embryofetal tissue-patterning, morphogenesis, and organ-development structure",displacement of tissue across its normal supporting boundary,Congenital diaphragmatic hernia,remaining_5256
SB1258,"ocular optical, retinal, vascular, and visual-neural structure","developmental patterning deviation producing absent, incomplete, or abnormally organized structure",Congenital eye disorder,remaining_5256
SB1259,"embryofetal tissue-patterning, morphogenesis, and organ-development structure","developmental patterning deviation producing absent, incomplete, or abnormally organized structure",Congenital foot malformation,remaining_5256
SB1260,"oral mucosal, gingival, dental, and salivary-interface structure","developmental patterning deviation producing absent, incomplete, or abnormally organized structure",Congenital generalised lipodystrophy,remaining_5256
SB1261,"embryofetal tissue-patterning, morphogenesis, and organ-development structure","developmental patterning deviation producing absent, incomplete, or abnormally organized structure",Congenital genital malformation,remaining_5256
SB1262,"embryofetal tissue-patterning, morphogenesis, and organ-development structure","developmental patterning deviation producing absent, incomplete, or abnormally organized structure",Congenital genitourinary abnormality,remaining_5256
SB1263,renal glomerular-tubular filtration and fluid-balance structure,"developmental patterning deviation producing absent, incomplete, or abnormally organized structure",Congenital hydronephrosis,remaining_5256
SB1264,"embryofetal tissue-patterning, morphogenesis, and organ-development structure",pathologic lumen narrowing with increased resistance to transit or flow,Congenital hypertrophic pyloric stenosis,remaining_5256
SB1265,"developmental tissue-patterning, morphogenesis, and organ-architecture structure","developmental patterning deviation producing absent, incomplete, or abnormally organized structure",Congenital hypothyroidism,remaining_5256
SB1266,"synovial joint cartilage, capsule, fluid, and periarticular structure","developmental patterning deviation producing absent, incomplete, or abnormally organized structure",Congenital joint malformation,remaining_5256
SB1267,"colorectal mucosal barrier, motility, and transit structure",pathologic colonic dilation with impaired propulsive transit and wall mechanical state,Congenital megacolon,remaining_5256
SB1268,"embryofetal tissue-patterning, morphogenesis, and organ-development structure","developmental patterning deviation producing absent, incomplete, or abnormally organized structure",Congenital musculoskeletal anomaly,remaining_5256
SB1269,"oral mucosal, gingival, dental, and salivary-interface structure","developmental patterning deviation producing absent, incomplete, or abnormally organized structure",Congenital oral malformation,remaining_5256
SB1270,renal glomerular-tubular filtration and fluid-balance structure,"developmental patterning deviation producing absent, incomplete, or abnormally organized structure",Congenital renal cyst,remaining_5256
SB1271,cutaneous epidermal-dermal barrier and local immune structure,"developmental patterning deviation producing absent, incomplete, or abnormally organized structure",Congenital skin disorder,remaining_5256
SB1272,"developmental tissue-patterning, morphogenesis, and organ-architecture structure","developmental patterning deviation producing absent, incomplete, or abnormally organized structure",Congenital vesicoureteric reflux,remaining_5256
SB1273,myocardial chamber contraction and cardiac-output structure,structural-functional tissue disorder with impaired normal operation of the named structure,Congestive cardiomyopathy,remaining_5256
SB1274,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by conjoined twins",Conjoined twins,remaining_5256
SB1275,ocular optical-retinal-neural visual structure,"altered configuration or regulated output of the named structure, expressed as the state described by conjunctival bleb",Conjunctival bleb,remaining_5256
SB1276,ocular optical-retinal-neural visual structure,increased conjunctival vascular filling producing ocular-surface redness,Conjunctival congestion,remaining_5256
SB1277,ocular optical-retinal-neural visual structure,abnormal enclosed fluid or semisolid cavity within the named tissue,Conjunctival cyst,remaining_5256
SB1278,ocular optical-retinal-neural visual structure,abnormal increase or ectopic release of secreted material,Conjunctival discharge,remaining_5256
SB1279,ocular optical-retinal-neural visual structure,departure from the reference structural configuration or regulated functional range,Conjunctival disorder,remaining_5256
SB1280,ocular optical-retinal-neural visual structure,"altered configuration or regulated output of the named structure, expressed as the state described by conjunctival follicles",Conjunctival follicles,remaining_5256
SB1281,ocular optical-retinal-neural visual structure,vascular or tissue integrity breach with blood extravasation/accumulation,Conjunctival haemorrhage,remaining_5256
SB1282,ocular optical-retinal-neural visual structure,"excess magnitude, activity, quantity, or tissue state above the reference configuration",Conjunctival hyperaemia,remaining_5256
SB1283,ocular optical-retinal-neural visual structure,"altered configuration or regulated output of the named structure, expressed as the state described by conjunctival irritation",Conjunctival irritation,remaining_5256
SB1284,ocular optical-retinal-neural visual structure,"excess fluid accumulation within interstitial, tissue, or cavity compartments",Conjunctival oedema,remaining_5256
SB1285,ocular optical-retinal-neural visual structure,reduced water or secretory content relative to the normal hydrated state,Conjunctival xerosis,remaining_5256
SB1286,ocular optical-retinal-neural visual structure,"localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Conjunctivitis,remaining_5256
SB1287,ocular optical-retinal-neural visual structure,"exaggerated immune-recognition/effector activation causing barrier, vascular, or smooth-muscle perturbation",Conjunctivitis allergic,remaining_5256
SB1288,ocular optical-retinal-neural visual structure,pathogen-associated occupation/invasion with host-defense activation and local structural disruption,Conjunctivitis bacterial,remaining_5256
SB1289,ocular optical-retinal-neural visual structure,"localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Conjunctivitis exacerbated,remaining_5256
SB1290,ocular optical-retinal-neural visual structure,pathogen-associated occupation/invasion with host-defense activation and local structural disruption,Conjunctivitis infective,remaining_5256
SB1291,ocular optical-retinal-neural visual structure,"localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Conjunctivitis papillary,remaining_5256
SB1292,"systemic connective-tissue collagen, elastic-matrix, and mechanical-support structure",departure from the reference structural configuration or regulated functional range,Connective tissue disorder,remaining_5256
SB1293,"systemic connective-tissue collagen, elastic-matrix, and mechanical-support structure","localized or systemic inflammatory activation with altered barrier, vascular, and cellular organization",Connective tissue inflammation,remaining_5256
SB1294,"cortical attention, cognition, consciousness, and arousal network",departure from the reference structural configuration or regulated functional range,Consciousness abnormal,remaining_5256
SB1295,"cortical attention, cognition, consciousness, and arousal network","reduced clarity and integration of arousal, attention, and environmental representation",Consciousness clouding,remaining_5256
SB1296,"intestinal mucosal barrier, smooth-muscle motility, and luminal transport structure",reduced intestinal transit/propulsion with prolonged luminal retention,Constipation,remaining_5256
SB1297,"intestinal mucosal barrier, smooth-muscle motility, and luminal transport structure",reduced intestinal transit/propulsion with prolonged luminal retention,Constipation aggravated,remaining_5256
SB1298,"intestinal mucosal barrier, smooth-muscle motility, and luminal transport structure",reduced intestinal transit/propulsion with prolonged luminal retention,Constipation chronic,remaining_5256
SB1299,whole-organism integrated physiological structure,departure from the reference structural configuration or regulated functional range,Contact lens intolerance,remaining_5256
SB1300,"implanted-device, catheter, or prosthesis tissue-interface structure","altered configuration or regulated output of the named structure, expressed as the state described by contraceptive device complication",Contraceptive device complication,remaining_5256
SB1301,skeletal-muscle fiber excitation-contraction structure,"altered configuration or regulated output of the named structure, expressed as the state described by contraction skeletal muscle",Contraction skeletal muscle,remaining_5256
SB1302,"whole-organism chemical exposure, distribution, target interaction, and clearance structure",acute or subacute state transition of the named structure in response to an external or internal perturbation,Contrast media reaction,remaining_5256
SB1303,whole-organism tissue mechanical and barrier integrity structure,externally imposed mechanical/thermal/chemical tissue-integrity disruption,Contusion,remaining_5256
SB1304,whole-organism integrated physiological structure,departure from the reference structural configuration or regulated functional range,Conversion disorder,remaining_5256
SB1305,cortical neuronal excitability and synchronized electrical-network structure,pathologic synchronized neural excitability producing episodic network discharge,Convulsion,remaining_5256
SB1306,cortical neuronal excitability and synchronized electrical-network structure,pathologic synchronized neural excitability producing episodic network discharge,Convulsions aggravated,remaining_5256
SB1307,cortical neuronal excitability and synchronized electrical-network structure,pathologic synchronized neural excitability producing episodic network discharge,Convulsions generalised,remaining_5256
SB1308,cortical neuronal excitability and synchronized electrical-network structure,pathologic synchronized neural excitability producing episodic network discharge,Convulsive disorder,remaining_5256
SB1309,cortical neuronal excitability and synchronized electrical-network structure,pathologic synchronized neural excitability producing episodic network discharge,Convulsive seizure,remaining_5256
SB1310,measured biological quantity and its generating physiological structure,detectable presence of the measured target where the reference state is absent or lower,Coombs direct test positive,remaining_5256
SB1311,"erythrocyte production, integrity, and oxygen-transport structure",reduced erythrocyte/hemoglobin oxygen-transport capacity relative to systemic demand,Coombs positive haemolytic anaemia,remaining_5256
SB1312,measured biological quantity and its generating physiological structure,detectable presence of the measured target where the reference state is absent or lower,Coombs test positive,remaining_5256
SB1313,cerebellar sensorimotor coordination and timing network,loss of coordinated timing and integration of sensorimotor output,Coordination abnormal,remaining_5256
SB1314,cerebellar sensorimotor coordination and timing network,loss of coordinated timing and integration of sensorimotor output,Coordination disturbance,remaining_5256
SB1315,right-ventricular and pulmonary-vascular load-coupling structure,"altered configuration or regulated output of the named structure, expressed as the state described by cor pulmonale",Cor pulmonale,remaining_5256
SB1316,ocular optical-retinal-neural visual structure,superficial epithelial-surface tissue loss with reduced barrier continuity,Corneal abrasion,remaining_5256
SB1317,ocular optical-retinal-neural visual structure,abnormal mineral deposition within soft tissue or altered mineralized-matrix distribution,Corneal calcification,remaining_5256
SB1318,ocular optical-retinal-neural visual structure,reduced or unstable functional output insufficient to maintain the reference structural state,Corneal decompensation,remaining_5256
SB1319,ocular optical-retinal-neural visual structure,"altered configuration or regulated output of the named structure, expressed as the state described by corneal defect",Corneal defect,remaining_5256
SB1320,ocular optical-retinal-neural visual structure,"altered configuration or regulated output of the named structure, expressed as the state described by corneal degeneration",Corneal degeneration,remaining_5256
SB1321,ocular optical-retinal-neural visual structure,"altered configuration or regulated output of the named structure, expressed as the state described by corneal deposits",Corneal deposits,remaining_5256
SB1322,ocular optical-retinal-neural visual structure,departure from the reference structural configuration or regulated functional range,Corneal disorder,remaining_5256
SB1323,ocular optical-retinal-neural visual structure,"altered configuration or regulated output of the named structure, expressed as the state described by corneal epithelium defect",Corneal epithelium defect,remaining_5256
SB1324,ocular optical-retinal-neural visual structure,departure from the reference structural configuration or regulated functional range,Corneal epithelium disorder,remaining_5256
SB1325,ocular optical-retinal-neural visual structure,localized epithelial or tissue-surface loss with reduced barrier continuity,Corneal erosion,remaining_5256
SB1326,ocular optical-retinal-neural visual structure,"altered configuration or regulated output of the named structure, expressed as the state described by corneal infiltrates",Corneal infiltrates,remaining_5256
SB1327,ocular optical-retinal-neural visual structure,"altered configuration or regulated output of the named structure, expressed as the state described by corneal irritation",Corneal irritation,remaining_5256
SB1328,ocular optical-retinal-neural visual structure,"altered configuration or regulated output of the named structure, expressed as the state described by corneal lesion",Corneal lesion,remaining_5256
SB1329,ocular optical-retinal-neural visual structure,"excess fluid accumulation within interstitial, tissue, or cavity compartments",Corneal oedema,remaining_5256
SB1330,ocular optical-retinal-neural visual structure,loss of corneal transparency from altered stromal/epithelial optical organization,Corneal opacity,remaining_5256
SB1331,ocular optical-retinal-neural visual structure,"altered configuration or regulated output of the named structure, expressed as the state described by corneal perforation",Corneal perforation,remaining_5256
SB1332,ocular optical-retinal-neural visual structure,"altered configuration or regulated output of the named structure, expressed as the state described by corneal pigmentation",Corneal pigmentation,remaining_5256
SB1333,ocular optical-retinal-neural visual structure,"altered configuration or regulated output of the named structure, expressed as the state described by corneal scar",Corneal scar,remaining_5256
SB1334,ocular optical-retinal-neural visual structure,measured or functional quantity shifted below its reference structural range,Corneal sensitivity decreased,remaining_5256
SB1335,ocular optical-retinal-neural visual structure,"altered configuration or regulated output of the named structure, expressed as the state described by corneal staining",Corneal staining,remaining_5256
SB1336,ocular optical-retinal-neural visual structure,"excess fluid accumulation within interstitial, tissue, or cavity compartments",Corneal stromal edema,remaining_5256
SB1337,ocular optical-retinal-neural visual structure,reduction of corneal stromal thickness and mechanical reserve,Corneal thinning,remaining_5256
SB1338,coronary arterial perfusion and myocardial oxygen-delivery structure,"altered configuration or regulated output of the named structure, expressed as the state described by coronary artery disease",Coronary artery disease,remaining_5256
SB1339,coronary arterial perfusion and myocardial oxygen-delivery structure,increase in magnitude or instability of a pre-existing structural deviation,Coronary artery disease aggravated,remaining_5256
SB1340,coronary arterial perfusion and myocardial oxygen-delivery structure,reduced or unstable functional output insufficient to maintain the reference structural state,Coronary artery insufficiency,remaining_5256
SB1341,coronary arterial perfusion and myocardial oxygen-delivery structure,partial or complete luminal/pathway blockage with impaired transit or flow,Coronary artery occlusion,remaining_5256
SB1342,coronary arterial perfusion and myocardial oxygen-delivery structure,pathologic lumen narrowing with increased resistance to transit or flow,Coronary artery stenosis,remaining_5256
SB1343,coronary arterial perfusion and myocardial oxygen-delivery structure,intraluminal clot formation causing partial or complete flow obstruction,Coronary artery thrombosis,remaining_5256
SB1344,"cardiac myocardium, conduction, chamber, valve, and coronary-perfusion structure","altered configuration or regulated output of the named structure, expressed as the state described by coronary heart disease",Coronary heart disease,remaining_5256
SB1345,"vascular wall tone, lumen, and blood-flow structure",intraluminal clot formation causing partial or complete flow obstruction,Coronary stent thrombosis,remaining_5256
SB1346,"embryofetal tissue-patterning, morphogenesis, and organ-development structure","developmental patterning deviation producing absent, incomplete, or abnormally organized structure",Corpus callosum agenesis,remaining_5256
SB1347,ovarian follicular-luteal endocrine and reproductive structure,abnormal enclosed fluid or semisolid cavity within the named tissue,Corpus luteum cyst,remaining_5256
SB1348,"nasal-sinus mucosal barrier, vascular, and drainage structure","altered configuration or regulated output of the named structure, expressed as the state described by coryza",Coryza,remaining_5256
SB1349,whole-organism integrated physiological structure,"localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Costochondritis,remaining_5256
SB1350,"retinal perfusion, ganglion-cell, and visual-field structure","altered configuration or regulated output of the named structure, expressed as the state described by cotton wool spots",Cotton wool spots,remaining_5256
SB1351,"conducting-airway mucosal, ciliary, and secretion-clearance structure",exaggerated airway-protective sensory-motor reflex activation,Cough,remaining_5256
SB1352,"conducting-airway mucosal, ciliary, and secretion-clearance structure",exaggerated airway-protective sensory-motor reflex activation,Cough decreased,remaining_5256
SB1353,"conducting-airway mucosal, ciliary, and secretion-clearance structure",exaggerated airway-protective sensory-motor reflex activation,Cough increased,remaining_5256
SB1354,"conducting-airway mucosal, ciliary, and secretion-clearance structure",exaggerated airway-protective sensory-motor reflex activation,Cough suppression,remaining_5256
SB1355,whole-organism integrated physiological structure,increased nociceptive signaling localized to the named structure,Coxalgia,remaining_5256
SB1356,skeletal-muscle fiber excitation-contraction structure,episodic smooth-muscle contraction with associated luminal pressure and nociceptive signaling,Cramp muscle,remaining_5256
SB1357,skeletal-muscle fiber excitation-contraction structure,episodic smooth-muscle contraction with associated luminal pressure and nociceptive signaling,Cramp of limb,remaining_5256
SB1358,skeletal-muscle fiber excitation-contraction structure,episodic smooth-muscle contraction with associated luminal pressure and nociceptive signaling,Cramps of lower extremities,remaining_5256
SB1359,peripheral sensory-nerve axonal conduction structure,departure from the reference structural configuration or regulated functional range,Cranial nerve disorder,remaining_5256
